"category","title","paper_ids","years","venues","tags","representative_scope_note","representative_gap_note","retrieved_via","source_runs"
"核心：量子路由","A Best-Path Approach to the Design of a Hybrid Space–Ground Quantum Network with Dynamic Constraints","semanticscholar:edabe73259f7b156a3f608c4dbadf305a20503b2","2024-03","Photonics","`reframe_as_solvable_object`","Hybrid fiber/satellite routing must select useful end-to-end paths as weather, radiance, and orbital geometry change.","The snapshot best-path model omits switching costs, uncertain forecasts, shared-resource contention, and recovery or rollback when a selected link becomes unusable.","semanticscholar","teleportation-routing-rollback-gap"
"核心：量子路由","A holistic survey of UAV-assisted wireless communications","openalex:W4407028782","2025-01","Journal of Network and Computer Applications","outside_taxonomy","Surveys UAV-assisted wireless communication.","No quantum-routing mechanism.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","A Linear Algebraic Framework for Dynamic Scheduling Over Memory-Equipped Quantum Networks","arxiv:2307.06009v2; doi:10.1109/TQE.2023.3341151; openalex:W4389542679","2023-07; 2023-12","IEEE TQE; IEEE Transactions on Quantum Engineering; arXiv","reframe_as_solvable_object; structural_prior_encoding","Schedules elementary and intermediate ebit queues and Swap operations over precomputed routes.","The published model assumes precomputed routes and does not impose finite-memory completion reachability; Max-Weight pressure can select immediately legal work without a safe-state certificate.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; quantum-routing-scenario-gap_2; request-salvage-routing"
"核心：量子路由","A Review on Models and Applications of Quantum Computing","openalex:W4413983610","2025-09","Quantum Reports","outside_taxonomy","Reviews quantum-computing models.","Does not formulate network-routing execution.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","A two-stage Q-learning routing approach for quantum entanglement networks","openalex:W4409688107","2025-04","Annals of Telecommunications","decompose_and_delegate; reframe_as_solvable_object","Coordinating path and quantum-operation decisions under dynamic entanglement resources.","The absent abstract leaves stage interfaces, scaling behavior, and noise robustness unverifiable.","openalex","atomic-batch-quantum-routing"
"核心：量子路由","Adaptive Entanglement Generation for Quantum Routing","openalex:W4414937978","2025-05","arXiv; arXiv (Cornell University)","`architectural_operator_substitution`; architectural_operator_substitution; assumption_audit_and_pivot; br>`generative_process_redesign`; br>`reframe_as_solvable_object`; generative_process_redesign; reframe_as_solvable_object","Linear-program routing is too slow for real-time requests, while unused and proactively swappable entanglement is wasted.","Closest collision: the abstract advertises caching but does not state an explicit routing-aware Release action or an eviction policy for finite full memories; full-text verification is load-bearing.","openalex; user_ref","atomic-batch-quantum-routing; entanglement-pair-eviction-routing-drl; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"核心：量子路由","Adaptive Inter-Domain Content Retrieval in Satellite-Terrestrial Integrated Networks","semanticscholar:62e3a673131d45916385e9953a5a4d990113a5cc","2024-01","GLOBECOM","adapt_via_conditioning; reframe_as_solvable_object","off-core adaptive content routing","no quantum resource or entanglement semantics","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Adaptive Resource Orchestration for Distributed Quantum Computing Systems","openalex:W7118051985","2025-12","arXiv","heterogeneous_decomposition; reframe_as_solvable_object","Orchestrates teleportation jobs, entanglement attempts, shared memory, and a small ebit cache at a hub.","The abstract does not define routing-aware eviction of a still-valid cached pair whose two endpoints have different downstream route value.","openalex","entanglement-pair-eviction-routing-drl"
"核心：量子路由","Addressing a device in a quantum network: A quantum approach including routing","arxiv:2604.05321v1","2026-04","arXiv","algebraic_equivalence_unification; reframe_as_solvable_object","quantum-state addressing and coherent route selection","does not allocate per-job memory across adaptive circuit branches","arxiv","quantum-routing-scenario-gap_2"
"核心：量子路由","An Advanced Collaborative Routing Algorithm for Optimizing Entanglement and Resource Efficiency","openalex:W4406254810","2025-01","International Journal of Theoretical Physics","outside_taxonomy","Title indicates collaborative routing and resource efficiency.","Abstract unavailable; no defensible residue can be assigned.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","An Advanced Collaborative Routing Algorithm for Optimizing Entanglement and Resource Efficiency in Quantum Networks","openalex:W4406254810","2025-01","International Journal of Theoretical Physics","`outside_taxonomy`; reframe_as_solvable_object; structural_prior_encoding","Collaborative route choice is intended to balance entanglement success and resource efficiency.","With no abstract-level mechanism detail, robustness to censored outcomes, congestion externalities, and nonstationary memory quality remains unclear.","openalex","quantum-network-routing-innovation; teleportation-routing-rollback-gap"
"核心：量子路由","An on-demand Resource Allocation Algorithm for a Quantum Network Hub and its Performance Analysis","openalex:W4406261160","2024-09","IEEE QCE","decompose_and_delegate; reframe_as_solvable_object","Blocks or immediately admits hub requests under finite shared resources.","It is an admission/loss model and does not reconsider or evict a still-valid established pair to enable a different route.","openalex","entanglement-pair-eviction-routing-drl; teleportation-purification-memory-gap"
