"论文","已经解决场景","是否考虑交换顺序","论文来源"
"Entanglement Routing in Quantum Networks: A Comprehensive Survey","系统梳理 proactive、reactive、opportunistic、virtual routing；总结异步自动纠缠生成、ASAP swapping、资源提前释放以及慢速网络控制与快速物理事件的时间尺度分离。","是（综述和分类多种 swapping order）","arXiv 2024; DOI: 10.48550/arXiv.2408.01234; Zotero key: K8ABYTP2"
"Order Matters: On the Impact of Swapping Order on an Entanglement Path in a Quantum Network","面向单条给定路径，证明 swapping 运算不满足结合律，不同完整交换顺序会产生不同的期望吞吐；采用先生成、后交换的原子 slot 模型。","是（显式分析完整交换顺序）","IEEE INFOCOM Workshops 2022; DOI: 10.1109/INFOCOMWKSHPS54753.2022.9798254; Zotero sweep-order/SUX56CCC"
"Efficient Quantum Network Communication using Optimized Entanglement-Swapping Trees","提出 QNR-SP/QNR：单对源宿用动态规划选择满足容量与 fidelity 约束的最小延迟 swapping tree；多对源宿联合选择每个请求的一组 swapping trees，最大化 aggregate EP generation rate。采用 waiting protocol 保留早到 EPR，并约束每个 qubit 总存储时间不超过 τ_d；节点 memory 采用静态聚合约束 M_i≥2x_i+y_i。未建模执行过程中的 stage-wise memory 释放及同一控制周期内跨请求复用。","是（联合选择 swapping trees；树结构隐含 swap 依赖、并行层级与顺序，但不是显式线性 order）","IEEE Transactions on Quantum Engineering 2022; DOI: 10.1109/TQE.2022.3168784; arXiv:2112.11002"
"Parallel Segment Entanglement Swapping","面向由外部 entanglement routing 算法预先选定的单条路径，按节点 ES time cost 用 Layer Greedy/Segment Greedy 转换为 tree-like model；段间并行、段内顺序交换，并提供集中式时间同步与按需重传机制。假设纠缠准备率固定、每个 repeater 只有两个 quantum memories（同一时刻只能执行一次 ES）。","是（tree-like model 显式确定 swap 依赖、并行层级与交换结构；仅单路径，路径选择与树生成分离）","IEEE QCNC 2024; DOI: 10.1109/QCNC62729.2024.00050; arXiv:2407.06598"
"Efficient Entanglement Swapping in Quantum Networks for Multi-User Scenarios","PSES 的期刊扩展版，提出 M-PSES 处理多用户并发路径的公共节点 memory/channel 竞争。对每条预选路径生成 tree-like model；节点完成 ES 后立即释放资源，并以‘前驱 swap 已完成’和‘节点资源可用’两个 trigger signals 控制执行，使低优先级路径可在等待公共节点时并行推进其他节点。假设路径及其优先级已给定、每个 repeater 两个 memories、纠缠准备率固定。已直接研究 stage-wise 资源释放、跨路径锁定/解锁与部分复用，但不联合优化 path、tree 与 batch admission。","是（多路径 tree-like swapping 结构 + 事件触发执行；显式考虑多用户 resource contention、完成即释放和跨路径复用）","Entropy 2025, 27(6):615; DOI: 10.3390/e27060615; PMC: PMC12191485; extended version of PSES/QCNC 2024"
"Minimum Cost Swapping and Purification Scheduling Over Quantum Repeater Chains","面向 Binary-system 单条 repeater chain 的 Optimal Swapping and Purification Tree（OSPT）问题，联合优化 swapping tree、purification schedule 与全局资源预算分配；给出精确分解方法，并用贪心预算分配近似指数复杂度的精确解。","是（显式优化 swapping/purification tree；单链、非多请求路由）","IEEE QCNC 2026; DOI: 10.1109/QCNC69040.2026.00084"
"Swapping and Purification Scheme Optimization for Entanglement Distribution in Quantum Networks","考虑操作失败，扩展 swapping/purification 的 tree-based 模型；证明 Binary system 下最优策略总是先 purification 后 swapping，并为 Binary/Werner systems 提出沿单路径的树型调度算法，以减少建立合格端到端纠缠所需的资源。","是（tree-based 联合 swapping/purification schedule；单路径，不做多请求资源复用）","IEEE Transactions on Networking 2026; DOI: 10.1109/TON.2026.3663243"
"Sequential vs. Simultaneous Entanglement Swapping under Optimal Link-Layer Control","在固定 n=4 repeater chain 上，在相同 RL link-layer controller 下比较固定 sequential swapping 与 simultaneous SWAP-ASAP；系统扫描 memory coherence time/链路 heralding latency，发现当前 memory 区间内 simultaneous 的速率优势显著。","部分（比较两种固定交换时序，不选择任意完整 order/tree，也不做路由）","arXiv 2026; arXiv:2605.04047; 未见正式出版信息"
"RADAR-Q: Resource-Aware Distributed Asynchronous Routing for Entanglement Distribution in Multi-Tenant Quantum Networks","多租户并发环境下做分布式异步路由，路径决策同时考虑长度、fidelity、瞬时 quantum-memory availability 与中间 BSM；通过 DODAG/NCA 将 swapping 放在更靠近用户的位置，缓解共享 repeater contention。","部分（路由显式考虑 memory 与 BSM placement，但不输出完整 swapping tree/order）","arXiv 2026; arXiv:2603.27570; submitted to ICR 2026"
"Dynamic Entanglement Packet Scheduling for Quantum Networks","面向多用户 on-demand entanglement packet 架构，在线执行 schedule/defer/retry/drop reservations，在随机结果和异步到达下提高完成率、吞吐与 deadline 可行性。","否（调度请求/资源 reservation，不优化路径内 swap order/tree）","IEEE INFOCOM 2026; DOI: 10.1109/INFOCOM59046.2026.11571755; arXiv:2605.28795"
